Student_ID,Region,Gender,Enrollment_Type,Subject_Group,SSC_I_Marks,SSC_II_Marks,HSSC_I_Marks,Attendance_Rate,Parent_Education_Level,Parent_Income,Study_Hours,Extra_Tuition,School_Type,Previous_Failures,Co_Curricular_Activities,Exam_Attempts,HSSC_II_Marks,HSSC_II_Grade
1,Mohmand,Male,Regular,Science,682,772,390,59.84,College,Medium,3.27,No,Private,1,No,2,814,A-ONE
2,Mohmand,Male,Regular,Science,535,532,800,76.71,Graduate,Low,2.32,Yes,Public,2,Yes,1,504,C
3,Mohmand,Female,Private,Arts,697,692,331,81.94,College,Low,4.64,Yes,Private,1,No,2,572,C
4,Khyber,Female,Regular,Arts,705,584,603,96.1,College,Medium,3.83,No,Public,0,Yes,2,543,C
5,Chitral,Female,Regular,Arts,308,737,812,95.75,High School,Medium,4.47,No,Public,2,No,1,608,B
6,Chitral,Male,Regular,Science,349,755,394,73.1,High School,Medium,3.68,No,Private,1,No,2,322,Fail
7,Khyber,Male,Private,Science,421,419,670,91.25,High School,Low,2.48,Yes,Private,0,No,2,774,A
8,Charsadda,Female,Regular,Science,494,768,463,58.6,Graduate,Medium,4.61,No,Private,0,Yes,2,500,C
9,Khyber,Male,Regular,Arts,697,528,747,53.96,Graduate,Medium,1.28,No,Public,2,No,1,469,D
10,Charsadda,Female,Regular,Science,317,455,614,96.15,College,Medium,1.02,No,Public,1,Yes,1,410,D
11,Peshawar,Male,Regular,Science,733,532,581,79.56,High School,Low,2.54,Yes,Public,1,Yes,2,807,A-ONE
12,Mohmand,Female,Regular,Science,844,329,561,53.3,College,Medium,2.15,Yes,Public,2,No,1,411,D
13,Mohmand,Female,Regular,Arts,479,696,397,50.03,High School,High,4.39,Yes,Public,2,Yes,2,602,B
14,Charsadda,Female,Private,Science,307,782,392,87.55,Graduate,High,3.07,Yes,Private,1,No,1,412,D
15,Chitral,Male,Regular,Arts,799,840,782,90.98,High School,Medium,4.33,Yes,Private,0,Yes,2,395,Fail
16,Chitral,Female,Private,Science,653,619,435,99.73,College,Medium,2.37,Yes,Public,0,Yes,1,690,B
17,Chitral,Male,Private,Arts,633,803,390,93.45,High School,Medium,4.05,Yes,Public,1,No,1,799,A
18,Mohmand,Female,Private,Science,533,719,305,60.42,Graduate,High,2.3,No,Private,1,Yes,2,697,B
19,Peshawar,Male,Regular,Science,394,401,721,64.49,Graduate,High,4.54,Yes,Public,2,No,1,544,C
20,Charsadda,Female,Private,Arts,633,324,555,54.98,Graduate,High,1.96,Yes,Public,1,Yes,1,324,Fail
21,Charsadda,Female,Regular,Arts,828,307,558,91.76,High School,Low,1.56,No,Private,1,Yes,1,533,C
22,Peshawar,Female,Regular,Science,386,822,412,86.5,College,Medium,1.87,Yes,Private,2,Yes,2,486,D
23,Chitral,Male,Private,Arts,535,462,722,68.6,High School,Medium,1.03,Yes,Private,0,No,2,402,D
24,Peshawar,Female,Private,Science,363,675,759,61.36,Graduate,Low,1.79,Yes,Public,1,Yes,1,739,A
25,Peshawar,Female,Regular,Arts,474,800,819,82.91,High School,Low,4.02,Yes,Private,0,Yes,1,639,B
26,Chitral,Male,Regular,Arts,846,647,805,72.91,High School,High,4.6,No,Public,1,No,2,402,D
27,Peshawar,Female,Private,Arts,711,500,631,98.49,High School,Medium,1.24,No,Public,1,No,2,711,A
28,Khyber,Male,Regular,Arts,753,347,590,63.14,College,High,2.24,No,Private,0,No,2,748,A
29,Khyber,Female,Regular,Science,557,744,538,69.11,College,High,4.96,Yes,Public,2,No,2,562,C
30,Mohmand,Male,Regular,Science,303,498,806,95.09,Graduate,High,2.66,No,Public,1,Yes,2,308,Fail
31,Peshawar,Female,Regular,Arts,494,397,478,64.64,Graduate,Low,1.9,Yes,Private,0,Yes,1,521,C
32,Peshawar,Female,Private,Science,732,363,325,77.02,High School,Low,4.87,No,Private,0,No,1,704,A
33,Charsadda,Female,Regular,Science,461,721,459,61.06,High School,Medium,4.64,No,Public,2,Yes,1,437,D
34,Chitral,Female,Private,Science,657,646,635,94.89,Graduate,Medium,3.23,Yes,Private,0,No,1,715,A
35,Khyber,Male,Regular,Science,415,836,325,97.47,High School,High,3.86,Yes,Public,0,Yes,2,595,C
36,Mohmand,Male,Private,Arts,451,635,435,93.17,College,Low,3.66,No,Public,1,No,1,375,Fail
37,Mohmand,Female,Private,Arts,777,337,825,69.62,Graduate,Medium,3.32,No,Public,1,Yes,2,714,A
38,Peshawar,Male,Regular,Science,427,440,816,84.43,College,Low,3.99,No,Private,1,No,2,341,Fail
39,Khyber,Male,Regular,Science,484,596,845,66.43,High School,Low,4.26,Yes,Public,0,Yes,2,689,B
40,Chitral,Male,Private,Arts,626,761,797,58.94,Graduate,Medium,3.26,Yes,Private,2,No,2,412,D
41,Mohmand,Female,Regular,Arts,301,495,330,75.65,Graduate,High,4.56,No,Private,0,Yes,2,735,A
42,Chitral,Female,Private,Science,703,571,678,87.44,College,High,4.47,Yes,Public,1,Yes,2,434,D
43,Charsadda,Female,Private,Arts,792,513,378,89.32,High School,High,1.91,Yes,Public,2,No,2,515,C
44,Chitral,Female,Regular,Science,656,650,463,74.73,High School,Medium,2.27,Yes,Public,2,Yes,1,399,Fail
45,Peshawar,Male,Regular,Science,676,770,458,89.81,Graduate,High,3.11,Yes,Private,0,Yes,2,453,D
46,Chitral,Female,Private,Arts,639,651,447,55.71,Graduate,High,2.03,No,Private,2,No,1,797,A
47,Charsadda,Female,Regular,Arts,571,479,354,72.1,High School,Medium,2.86,No,Public,1,No,2,389,Fail
48,Chitral,Female,Private,Science,622,569,843,96.77,Graduate,Medium,1.85,No,Public,1,No,2,432,D
49,Chitral,Male,Private,Science,355,397,430,84.72,College,Medium,4.01,Yes,Private,1,No,2,516,C
50,Khyber,Male,Regular,Arts,645,757,842,98.59,College,Medium,1.86,Yes,Private,0,No,2,495,D
51,Mohmand,Male,Regular,Arts,614,647,380,92.34,High School,Medium,4.92,No,Private,0,Yes,1,689,B
52,Mohmand,Male,Private,Arts,651,811,515,55.41,Graduate,Medium,4.36,Yes,Public,2,Yes,1,392,Fail
53,Charsadda,Female,Regular,Science,762,522,382,95.11,College,Low,4.25,No,Private,0,Yes,1,848,A-ONE
54,Mohmand,Female,Private,Science,532,734,577,59.38,Graduate,Medium,4.09,No,Public,1,No,2,626,B
55,Chitral,Male,Regular,Science,799,466,578,58.34,High School,Low,4.55,No,Private,0,No,1,752,A
56,Khyber,Male,Private,Arts,445,326,441,71.76,Graduate,Medium,4.09,No,Public,1,Yes,1,332,Fail
57,Mohmand,Female,Private,Science,626,779,688,74.64,High School,Medium,2.03,Yes,Public,1,Yes,1,678,B
58,Khyber,Female,Regular,Science,384,593,351,93.69,College,Low,2.39,No,Private,1,Yes,2,796,A
59,Chitral,Male,Private,Arts,700,478,654,74.21,College,Medium,3.43,Yes,Public,1,No,1,325,Fail
60,Charsadda,Male,Regular,Arts,484,740,827,86.45,College,Low,2.32,No,Private,0,Yes,1,758,A
